ECT,RPM,label,split,original_index
4.6875,26.0,anomaly,test,163156
4.6875,26.0,anomaly,test,163157
4.6875,26.0,anomaly,test,163158
4.6875,25.0,anomaly,test,163159
4.6875,25.0,anomaly,test,163160
4.6875,25.0,anomaly,test,163161
4.6875,25.0,anomaly,test,163162
3.125,27.0,anomaly,test,163163
3.125,27.0,anomaly,test,163164
3.125,27.0,anomaly,test,163165
6.25,23.0,anomaly,test,163166
6.25,23.0,anomaly,test,163167
6.25,23.0,anomaly,test,163168
6.25,23.0,anomaly,test,163169
5.46875,22.0,anomaly,test,163170
5.46875,22.0,anomaly,test,163171
5.46875,22.0,anomaly,test,163172
5.46875,22.0,anomaly,test,163173
5.46875,22.0,anomaly,test,163174
5.46875,22.0,anomaly,test,163175
5.46875,22.0,anomaly,test,163176
3.125,22.0,anomaly,test,163177
3.125,23.0,anomaly,test,163178
3.125,23.0,anomaly,test,163179
3.125,23.0,anomaly,test,163180
4.6875,23.0,anomaly,test,163181
4.6875,23.0,anomaly,test,163182
4.6875,23.0,anomaly,test,163183
4.6875,23.0,anomaly,test,163184
3.125,22.0,anomaly,test,163185
3.125,22.0,anomaly,test,163186
3.125,22.0,anomaly,test,163187
4.6875,22.0,anomaly,test,163188
4.6875,22.0,anomaly,test,163189
4.6875,22.0,anomaly,test,163190
4.6875,22.0,anomaly,test,163191
2.34375,23.0,anomaly,test,163192
2.34375,23.0,anomaly,test,163193
2.34375,23.0,anomaly,test,163194
2.34375,23.0,anomaly,test,163195
6.25,22.0,anomaly,test,163196
6.25,22.0,anomaly,test,163197
